职位名称,地区,薪水,标签,能力要求,公司名字,福利待遇,详情链接,最低薪水,最高薪水,平均薪水,经验要求,学历要求,城市,福利个数
高级ai算法工程师,广州·天河区·天河公园,20-25K,"3-5年, 本科","无明显侧重, 语音/图像识别, Python, C/C++, TensorFlow/PyTorch, 计算机相关专业, 机器学习算法/工程化经验, 深度学习经验",坤盛信息科技有限公司,加班补助，交通补助，通讯补贴，年终奖，定期体检，零食下午茶，全勤奖，节日福利，五险一金，带薪年假，员工旅游，补充医疗保险，餐补,https://www.zhipin.com/job_detail/6c87f63091196c4b1XB42Ny4FldZ.html?lid=KvK7LL4hKT.search.264&securityId=tV7KH93jTb1Ki-211qgE-rENftKT9gNk9ln2uH0gmj6eIJ1MkgLLhXVcg5Kx-4thwHwejPFTr7Ayh19zrVimrYhCxM4AUhOUsQRRAlUbfbkgxzTZ&sessionId=,20,25,22.5,3-5年,本科,广州,13
高级AI算法工程师,广州·天河区·高唐,18-22K,"3-5年, 硕士","语音/图像识别, Python, TensorFlow/PyTorch",言程智能,五险一金，定期体检，年终奖，股票期权,https://www.zhipin.com/job_detail/d71dab34498a9d331Xx42dy9ElNR.html?lid=KvK7LL4hKT.search.265&securityId=KbnJT7RPhb2TS-G1sEhA5rtgHLiD2LnuVfs6oO61RcqrOctmIpAidfii2j0XXB215wcZhy9XJfTeYz5LJqd2ujDZKmUfmZE1Az8kFr9dvAQ2UofH-ilB&sessionId=,18,22,20,3-5年,硕士,广州,4
AI数字人推广人员,广州·白云区·黄石,5-10K,"1年以内, 中专/中技","面销/陌拜经验, 个人（To C）, O2O, 互联网/科技, 面销/陌拜",视界联动,五险一金，全勤奖，年终奖，节日福利，员工旅游，零食下午茶，带薪年假,https://www.zhipin.com/job_detail/d04b43f79c3934851Xx83NS_FFtT.html?lid=KvK7LL4hKT.search.266&securityId=Ks5PhfuPTa0jm-81wxndrXDSWMGjmnzHmHSKtWsXgtPTysAtekl6kClCeYJ7yKUJ8NZhxGsJL4gO85y98QpLkFDfiC0Fjx5HCBzvcm3cYTcGfLfBvw~~&sessionId=,5,10,7.5,1年以内,中专/中技,广州,7
AI机器人训练师,广州·天河区·燕岭,9-14K,"3-5年, 大专","催收, AI训练师, 产品运营",东软集团,五险一金，节日福利，补充医疗保险，年终奖，带薪年假，员工旅游，通讯补贴，交通补助，定期体检,https://www.zhipin.com/job_detail/a709743ed144c6a11XZz0t-7FFBT.html?lid=KvK7LL4hKT.search.267&securityId=8Y_dMDvhTnXQa-s1m1Y83FpfQyZyUvXMgRppRCrmi1NPqTQVDLVWagHbIGHEG9WKQMeoY0mFQe3DSPT2_l5ulHetD66bVUQMRf21pjWSshAqhanGlLKWGmY95mAnmiAGjYYSS1tJMw8e01hg&sessionId=,9,14,11.5,3-5年,大专,广州,9
AI设计师  (MJ008640),广州·番禺区·南村,15-20K,"经验不限, 本科","计算机相关专业, 视觉艺术, Stable diffusion, 图像生成",SHEIN,零食下午茶，带薪年假，定期体检，节日福利，补充医疗保险，加班补助，五险一金，年终奖,https://www.zhipin.com/job_detail/50c8432b53d080391X1-2NS5GVpX.html?lid=KvK7LL4hKT.search.268&securityId=FMIr98tqHVyXE-d1tPJXTI3jpG_ds03Myr3Z_c_DVuYE5F9R6Mjevk_kVvTbwmvzkfqaQZf_mXfsR9wcLAzZshxlMzi6u_CR2IjsuwR9sebFASCcuf04&sessionId=,15,20,17.5,经验不限,本科,广州,8
大客户代表（AI方向）,广州·天河区·猎德,8-13K,"3-5年, 大专","定制解决方案, 客户关系维护, 互联网/科技, 软件/SaaS, B端市场开发经验, 软件/信息化服务销售经验, AI大数据, 数字化营销, 解决方案",我行我数,带薪年假，入职免费体检，节日福利，年终奖，零食下午茶，员工旅游，加班补助，五险一金，补充医疗保险,https://www.zhipin.com/job_detail/2cf6b81b10409f251X15396-ElVX.html?lid=KvK7LL4hKT.search.269&securityId=gbf3uPPLaEXU_-Y14g8MgqUGapkzSPsyTXvwkHS5U2BbG7wxSeoNSk6LEjUpW9qOfJV1-g05UozYfXMNzJOE-uWRyQsdwBVvu2hOagfF3qLvz7XeNw~~&sessionId=,8,13,10.5,3-5年,大专,广州,9
AI数字人招商经理,广州·海珠区·琶洲,8-13K,"5-10年, 本科","渠道/机构客户开发（销售方向）, 品牌合作（市场/PR方向）, 互联网/科技, 较多出差, 销售经验, 商务谈判能力, 渠道开发能力, AI , 渠道总监, 数字人",一知智能,交通补助，节日福利，股票期权，员工旅游，零食下午茶，年终奖，定期体检，餐补，带薪年假，通讯补贴，五险一金,https://www.zhipin.com/job_detail/8e59553e1b5635261X1-39-0E1VZ.html?lid=KtDeQo78Hq.search.211&securityId=8nqbQA0vzz1mY-M1HthD5RLSkDSXZiWSic0Tecz1hujW1l2e6N-A9YTe8Q_Sq57OIJcgdmSRpfhm0LBOSm2_IahxGso_lFxsYjl0Wj-DF7i5WjM2tw~~&sessionId=,8,13,10.5,5-10年,本科,广州,11
AI训练师（设计）,广州·天河区·车陂,8-12K,"1-3年, 大专","游戏角色原画, 游戏场景原画, 游戏公司",掌昆科技,全勤奖，年终奖，节日福利，零食下午茶，加班打车福利，绩效奖金，包吃，员工旅游,https://www.zhipin.com/job_detail/7def70d86c16342e1Xx82t67F1VT.html?lid=KtDeQo78Hq.search.212&securityId=qybOKNudJsyM4-l1PkE7Gj3GA01rl_aVCYr1ojrnRaJt3eEyLvGbrVUwUKYW1Kh6EieXt50kjMdPVIN95W7VvmnhodovWPGXWwb4Ko06WSTaD2SPN4F6aMA8QfWMO-PJ2_milYmyaDQWpJQ_zdxD&sessionId=,8,12,10,1-3年,大专,广州,8
产品经理（AI广告投放方向）,广州·番禺区·大石,12-20K,"3-5年, 本科","B端产品, AI机器人, 自动化广告投放, 出海投放",翼投科技,年终奖，节日福利，五险一金，带薪年假，员工旅游,https://www.zhipin.com/job_detail/aa1ff9d6ac1ef8f41HR43Ny5EFdY.html?lid=KtDeQo78Hq.search.213&securityId=WUAm3n7ZMY8GX-u1yESKWepeiicbZT8ZylR5lTpafjAPoQFNYBjppSQ7RHj8e9DshEGAHKu6bFcfnUZSPpWUretw9qxjVtmfR2_WAIsgE3PJ5wB8xII~&sessionId=,12,20,16,3-5年,本科,广州,5
AI算法工程师（金融方向）,广州·天河区·珠江新城,20-30K,"3-5年, 硕士","C/C++, Python, 机器学习算法, AI算法, AI金融",信维股份,交通补助，加班补助，带薪年假，节日福利，免费班车，五险一金，零食下午茶，定期体检，员工旅游，年终奖，全勤奖,https://www.zhipin.com/job_detail/ac501e2a57f2fc861Xx72ti_FFJX.html?lid=KtDeQo78Hq.search.214&securityId=xz_gQUvVywlnj-C16GJG-_CuNmQBnzaB7rJIIO3OF5jIqnZNbQaD24ipUuq-nIQWmM6ZmAoKqT1VrKWHI3c0mwWSJIc8kxWYM6_3Iuq5YwLbfbLXyg~~&sessionId=,20,30,25,3-5年,硕士,广州,11
ai产品开品员,广州·白云区·钟落潭,3-4K,"经验不限, 大专",运用AI开发,广州全亚,全勤奖，零食下午茶，产品福利，年终奖,https://www.zhipin.com/job_detail/6811530806a608d91Xx73tS6F1pR.html?lid=KtDeQo78Hq.search.215&securityId=L46MAIQl_QtEp-t1Dlcg6ZTizhkLoFezffXpiJ_3DA7Zy-ixf0c1HOyvCaZ_5JuqHHLRCsLua5KwzcRBoxkmAzNHcvBwNwjvNLFg-shLRE911OvFhA~~&sessionId=,3,4,3.5,经验不限,大专,广州,4
AI图像视频算法工程师,广州·越秀区·环市东,10-15K·15薪,"1-3年, 本科","TensorFlow/PyTorch, 图像识别经验, 人脸识别经验, ISP/3A算法经验",潮汕学院,,https://www.zhipin.com/job_detail/8cdeba6d067e6afb1Xx-3di0ElZS.html?lid=KtDeQo78Hq.search.216&securityId=REwl1IOsBpVXC-W1ofL9ga6Sv-Tfvjpd4H00VuVY_iPs8q4FJd-nh6gy0NHdPDwqMjfQTTVPXOVFYvffyBWKIhkx_21WeB3d9y4u99FsAbxjmT15lA~~&sessionId=,10,15,12.5,1-3年,本科,广州,1
城市AI算法研发经理,广州·海珠区·南洲,13-25K,"经验不限, 硕士","Python, 算法基础, MVC开发, 微服务架构, Java",城乡规划设计研究...,补充医疗保险，高温补贴，企业年金，股票期权，交通补助，定期体检，带薪年假，五险一金，包吃，年终奖，节日福利，生日福利，通讯补贴，绩效奖金,https://www.zhipin.com/job_detail/8fc28dff30da03e11XB-2du6GVNT.html?lid=KtDeQo78Hq.search.217&securityId=aqzkSGV7eo1dB-m1O7I2Pkepb6AXmkv-gkbOV1qsJRkJF1a1etHLuqV3OPS8mbqIT7iKEWy8vkWBvVe72_0qxewHv-ZX4s4ahqaiUBFag1ko1ztI9PDj&sessionId=,13,25,19,经验不限,硕士,广州,14
游戏AI算法工程师,广州·天河区·车陂,25-50K·14薪,"经验不限, 本科","业务导向, C/C++, Python, TensorFlow/PyTorch, 机器学习算法/工程化经验, 深度学习经验, 计算机相关专业, 游戏开发, 游戏AI, AI算法",金山西山居,免费班车，带薪年假，年终奖，员工旅游，定期体检，节日福利，海景办公，技能培训，包吃，岗位晋升,https://www.zhipin.com/job_detail/fd75d6d74ec313211X172di4E1ZR.html?lid=KtDeQo78Hq.search.218&securityId=GzR1DivqcrlqP-A1riKX7mjzH6c2nPUTVsXTMstH4btR8nCG41hvqvdCDHMsZZXsOrSUwg_potLMGAl_O4WTv4geOEnhaKoIkn8QtxP9t03zFjFZP3vVfiOWjDDtHYO3RfPMFoY4l8Hi9673DIVL&sessionId=,25,50,37.5,经验不限,本科,广州,10
三维重建工程师 (AI+几何方向),广州,20-30K,"经验不限, 硕士","研究导向, 语音/图像识别, C/C++, TensorFlow/PyTorch, 有国际期刊/会议论文发表, 深度学习经验, 英文读写能力良好",星际未来机器人,定期体检，五险一金，法定节假日三薪，节假日加班费，股票期权，年终奖,https://www.zhipin.com/job_detail/58c79e7ef84c73441XJ73NW0GVJQ.html?lid=KtDeQo78Hq.search.219&securityId=ThnJGjZmTJLYx-r16D94AGZsI2_3v8bO64C4ibKaizDIPvVxAZfrDfoUfK0BWC0woEztsO68it718TdxakxWneyqXGEboWFBT4kNReGu_6c4CVRoYbcU&sessionId=,20,30,25,经验不限,硕士,广州,6
python开发工程师（AI方向）,广州·白云区·嘉禾,4-9K,"1年以内, 本科","机器学习工程经验, openAI, 机器学习/算法工程, 全栈开发经验, AI, 后端, Bash, Python",旗鱼,零食下午茶，员工旅游，绩效奖金，团建聚餐，保底工资，底薪加提成,https://www.zhipin.com/job_detail/be7053477c4919d41XN_3d2_E1RR.html?lid=KtDeQo78Hq.search.220&securityId=HP2vOMjYCtT31-v1_5-ogwR2iX5S2mehPj-P3XRVUkiNamlv2IEdh9zex1mvPdmqZUMk5fHAoZ1_Qa80smaT5x_M8hsKoplOE9QJY4oeUBgBiB1xKF4~&sessionId=,4,9,6.5,1年以内,本科,广州,6
数据挖掘工程师/AI算法工程师,广州·黄埔区·大沙,15-20K·13薪,"1-3年, 本科","深度学习算法, 视觉图像算法, CV,OCR，, 数据挖掘",衡昊数据,,https://www.zhipin.com/job_detail/8edf52d34e8140391nV829S4F1ZU.html?lid=KtDeQo78Hq.search.221&securityId=s1RUkFO64Bk8E-B12Nzf726YYLEytvjSnQcQYw1KMuQmdfGQQJ0i-XbUYnxRxnD13B6c3zoi1tjmR-zwxqjJJUeXkQahaWzzCPIJVY7dyo9e-8AC6g~~&sessionId=,15,20,17.5,1-3年,本科,广州,1
国内多媒体AI写作文案助理,广州·天河区·龙口,3-8K,"经验不限, 高中","会视频后期, 不接受居家办公, 10w+阅读, 爆文制造机, 新媒体文案",广州创永,底薪加提成，保底工资，绩效奖金，年终奖,https://www.zhipin.com/job_detail/726cf4c4a87729ca1X160929FVRY.html?lid=KtDeQo78Hq.search.222&securityId=hb2FTtWW1sYhW-U1ygALntO_YKS6iWJFHZWDqI7aZS1QVHqPYSyxfngUygPSulUzP8Z6bNv6q0AnTeqCm4otlYIiLE7iqlRpXUEOHD_YsIrwTSdH3TbP&sessionId=,3,8,5.5,经验不限,高中,广州,4
医学图像AI算法工程师,广州·海珠区·官洲,15-30K·13薪,"经验不限, 本科","算法设计, 深度学习算法, 机器学习算法, 视觉图像算法, TensorFlow, PyTorch",基准医疗,团建聚餐，补充医疗保险，年终奖，生日福利，法定节假日三薪，节日福利，零食下午茶，加班补助，带薪年假，五险一金，定期体检，员工旅游,https://www.zhipin.com/job_detail/0adf920fba762d4d1XZy0tS0E1FV.html?lid=KtDeQo78Hq.search.223&securityId=5T6zycvqD7s9B-_1skKjikaHYGnOkbyPgF8k_o_lq4jJc8IysYLnuw_3-AjCF9g8346rvyvz3xnnhy-5JCx-QIIgFfKK69v4z1trcDLRGWBhHyWrVvQ~&sessionId=,15,30,22.5,经验不限,本科,广州,12
资深AI算法工程师,广州·黄埔区·万达广场,25-35K·13薪,"3-5年, 本科","C/C++, OpenCV或EmguCV",广州印芯,五险一金，定期体检，商业保险，零食下午茶，节日福利，带薪年假，年终奖，加班补助，婚育补助,https://www.zhipin.com/job_detail/631bed32baaff5681X150tq0GFJV.html?lid=KtDeQo78Hq.search.224&securityId=tUXfRkCvNP4c_-01MN6sdKKc-4Lh18WDVrDYKyBhifXYjxGWfJ3Jza-AXU_r9yyFnG3yB_sR4xxCZOM8cCOHQym4gZEi7mMUDN5bVKvXfKA0VfKa7Q6Q&sessionId=,25,35,30,3-5年,本科,广州,9
AI标注/训练/Prompt/提示词运营,广州·天河区·林和,7-12K·13薪,"经验不限, 本科","工具类, C端产品, 数据分析能力好, AI Prompt, AI 提示词",Apifox,加班补助，员工旅游，零食下午茶，定期体检，团建聚餐，补充医疗保险，带薪年假，生日福利，年终奖，节日福利，股票期权，五险一金,https://www.zhipin.com/job_detail/8543d7b1ec573f6c1Xx42dS4FVtX.html?lid=KtDeQo78Hq.search.225&securityId=7fDmH5w396hTl-Z1bihMCc_cBMN6BWC2o8Q9TSdoAcDhiYNciIgYYomPzRZVXfImuLTfA2FnOZPKlSM3DJpDTJisloBqa7xWCd4LwJa97SQbcVA0Im_-VXvPqNYXFED0bbJxoEhKJ99ZQ3Qi4DMwKPc~&sessionId=,7,12,9.5,经验不限,本科,广州,12
资深电商AI-训练师,广州·天河区·东圃,12-20K·13薪,"1-3年, 大专","图片, 文字",螳螂科技,住房补贴，员工旅游，底薪加提成，零食下午茶，股票期权，带薪年假，团建聚餐，定期体检，节日福利，节假日加班费，年终奖，通讯补贴，保底工资，补充医疗保险，生日福利，五险一金，绩效奖金,https://www.zhipin.com/job_detail/c6940fd156b149601Xd_09i9EFtY.html?lid=KtDeQo78Hq.search.226&securityId=vHzBXJlTKP7i0-o1PEHwXZqXmZpQvoBfAfppnwaKwV0qx5RAIXWW5sHHc81LEWG7ct9NXOpdMxWQN3Wwe3yqmcppJQzL0lFNBvtQnt4Nw6waUWanUA~~&sessionId=,12,20,16,1-3年,大专,广州,17
JAVA后台开发工程师（AI方向）,广州·番禺区·万达,25-40K·14薪,"3-5年, 本科","后端工程师, Java, Java开发经验, 计算机/软件工程相关经验",SHEIN,五险一金，定期体检，股票期权，零食下午茶，年终奖，员工旅游，餐补，带薪年假，节日福利,https://www.zhipin.com/job_detail/186d07f891f6eed21XJ_3Nu9EFVT.html?lid=KtDeQo78Hq.search.227&securityId=OhPeB13XUvUV3-51GTnzBpu2ZOCnvJ-jV-I6AuC0BKze4V1I4TPrA5SNSo4rTVRHLFPl8EZwH-IWVjzZr0UVNjSUYUQhmnyB6G_PU5xJRWBO0XXYQg~~&sessionId=,25,40,32.5,3-5年,本科,广州,9
AI应用开发工程师,广州·黄埔区·知识城,18-30K,"3-5年, 本科","深度学习算法, 视觉图像算法, 语音算法, 机器学习算法, TensorFlow, Caffe, PyTorch, Keras",广州沃风科技有限公司,年终奖，通讯补贴，带薪年假，五险一金,https://www.zhipin.com/job_detail/9bdae21322596c171nFz3NW8GFFU.html?lid=KtDeQo78Hq.search.229&securityId=K3kHJnfyVZZIz-a1s72rTvJEIvuUOopTRqVySqdmS2Rc8DtS_T4AjkkcR8G4cZbEb9Qw9ahsBy2dCuynibAO1Qs88erovcqByZtNmijjey-wcu-Wtw~~&sessionId=,18,30,24,3-5年,本科,广州,4
跨境电商美工 PS/AI,广州·白云区·均禾,4-7K,"经验不限, 大专","PhotoShop, 网页设计, 平面设计, 美工, 跨境电商, 包装设计, 视觉设计, 全职",ToniTech,员工旅游，全勤奖，带薪年假，零食下午茶，五险一金，底薪加提成，加班补助，年终奖，节日福利，包住,https://www.zhipin.com/job_detail/bb0f49e6b7fc811e0nB-09m4EFQ~.html?lid=KtDeQo78Hq.search.231&securityId=nVQAGxlF4w0Wl-x1WrMoqriux6HStw50d_IhLEUbfjkJ0lDP6Man_XGrH3V4HCUjUV3XGgsAK-0QqNNw1bvZvWr3WdXW7agx4qXAkmP2ZmSL_Zw~&sessionId=,4,7,5.5,经验不限,大专,广州,10
人工智能讲师,广州·从化区·鳌头,9-11K,"3-5年, 本科","云计算, 语音/图像识别, Python, Java, TensorFlow/PyTorch, 计算机相关专业, 数学/统计相关专业, 深度学习经验",广东蓝色畅想,节日福利，免费班车，员工旅游，交通补助，餐补，五险一金，通讯补贴，年终奖，补充医疗保险，带薪年假，全勤奖,https://www.zhipin.com/job_detail/5fb547d2b29512af1XNz29m9FVRS.html?lid=KtDeQo78Hq.search.232&securityId=K6_ifkG1casGJ-G16ecOlPo280kuSQ8QZ1RJnBBUUmA5mFz74Kaq2KPQQZW1eNAEjQoGJfzpPUb_v3ILcpNLxhyI0TwsLEP4Mh-e0r5R_nQO_LAfHGc~&sessionId=,9,11,10,3-5年,本科,广州,11
人工智能编程老师,广州·番禺区·沙头,8-12K,"1-3年, 本科","人工智能, 编程",智迈汇,五险，员工旅游，节日福利，交通补助，免费班车，股票期权，年终奖，补充医疗保险，带薪年假,https://www.zhipin.com/job_detail/5a5d9a5ccb8b150b1XF60961FFZR.html?lid=KtDeQo78Hq.search.233&securityId=K1OSczfhM0Pyt-T1N30sY1Bryfk5KzlEQYXfdZ3JDdp_qJE4LK-MFXse4-tezKDjngU1gNvVOk1U-V0cuuYq9DUu4rmsEn2TfDWvz_Iy7EEr4fuy4g~~&sessionId=,8,12,10,1-3年,本科,广州,9
科研岗位（人工智能方向）,广州·海珠区·官洲,30-60K,"1-3年, 博士","研究导向, 机器学习算法/工程化经验, 有国际期刊/会议论文发表, 人工智能",广州人工智能与数...,绩效奖金，年终奖，五险一金,https://www.zhipin.com/job_detail/f11ad9211c42b4791XFy39y5E1dZ.html?lid=KtDeQo78Hq.search.234&securityId=pT6rQie9TpMa3-81NlCxLV5Wp_nczIw-zSWyqKKGOHAdTlBQdF2dl8CJ8-19RdUHVVDzGDIS4OYuf8nnAvwIAuAeAOrrb-B4LCJ1DZeiXIRx3HAGTQwdUIFdPiH8M5naraqah5rh5kmG8uy71fOQn2Q~&sessionId=,30,60,45,1-3年,博士,广州,3
人工智能、编程、乐高老师,广州·越秀区·建设路,4-8K,"经验不限, 本科","小学教育, 初中教育, 线下授课, 线上授课, 教师资格证(小学), 教师资格证(高中), 教师资格证(初中)",明尚科技,补充医疗保险，定期体检，五险一金,https://www.zhipin.com/job_detail/0fa7e1c483590e1c1nJ_0t26GVVZ.html?lid=KtDeQo78Hq.search.235&securityId=6QnLxmDaqE2K0-v1sJQam2S0fJf6fPGdfbPkInvo2_uth0nV7hrDrgIAp-HzwWCNOseWB7wVUa4cNJYh5yX9hxt8qnO_JiT3yEadaYmJxamxOYuahw~~&sessionId=,4,8,6,经验不限,本科,广州,3
人工智能算法工程师,广州·海珠区·琶洲,30-35K,"5-10年, 本科",云计算,中文数字技术(广州),五险一金，节日福利，零食下午茶，团建聚餐，带薪年假，营养午餐,https://www.zhipin.com/job_detail/273920a30abac1ec1X1-2tW7GFRV.html?lid=KtDeQo78Hq.search.236&securityId=hA9nAB-RQEjKb-c1dVxTgdArlgPhIKcIv62n58cEz4DutWlofy_DVJJonmJ7baK_FLZ3_w7v1BQzKC49q-bGWhSvkXTMskVSHHFY4dULQeZ1L48CO70~&sessionId=,30,35,32.5,5-10年,本科,广州,6
销售总监（人工智能）,广州·黄埔区·万达广场,30-50K,"5-10年, 本科","政府/社会团体, 企业, 互联网/科技, 对机构（To B）销售经验, 销售管理经验, 商务谈判能力, 人工智能, 教育行业, 产教融合",万维视景,带薪年假，保底工资，员工旅游，零食下午茶，年终奖，股票期权，节日福利，加班补助，底薪加提成，夜班补助，全勤奖，团建聚餐，餐补，绩效奖金，五险一金，生日福利,https://www.zhipin.com/job_detail/35058ed3ae54bd571X1539S-FFZT.html?lid=KtDeQo78Hq.search.237&securityId=SIxqIdW7n5Mux-o1cKVBLi-OTQKG9m13O2vbtvZodrEELE4fsD4rUv3L1fo3WEe5InUsV8fA0dJcBrmEOrB6W6EdWFovr4bPfLSh7WmMXWyPlI_UhbgIFvDOIlHed00VTx2SuoRj4-aqSruI0MjNmA~~&sessionId=,30,50,40,5-10年,本科,广州,16
人工智能产品经理,广州·天河区·东圃,15-30K·13薪,"3-5年, 大专","市场调研, 需求分析, 产品规划, 产品运营, 产品迭代, 项目管理",搜游科技,餐补，加班补助，包吃，零食下午茶，员工旅游，五险一金，带薪年假，通讯补贴，交通补助，年终奖，住房补贴，全勤奖,https://www.zhipin.com/job_detail/aefc353337695b530Hdy292_EFE~.html?lid=KtDeQo78Hq.search.238&securityId=6GpZelVJyf9ru-R1MzK8gM_kET1Njz73697wxwdyd8vdRO63KaHLnGnwuKTG6hkSMXqNo4JQu8MN20ydxAPb5-XTY4bVvnhKHJN9-QT6qqBgzccUnQ~~&sessionId=,15,30,22.5,3-5年,大专,广州,12
AI 售前咨询顾问,广州·天河区·广州东站,13-20K,"1-3年, 本科","售前工程师, 售前经理, 售前咨询顾问",小i机器人,餐补，带薪年假，节日福利，五险一金,https://www.zhipin.com/job_detail/3a085b43a98e7dc11XV73tm_FVJR.html?lid=KtDeQo78Hq.search.240&securityId=WimNM6TubJU2r-P1ZJv7s3SocTlfee-siaYUKRwzq0Mc5e34TdBGAw-011vERs42b17IgiiTt-1-Jm_vSEhbHHNJHLWEuoguZ8BPeLfCa_XjEIM~&sessionId=,13,20,16.5,1-3年,本科,广州,4
AI开发工程师 - 人工智能,广州·海珠区·琶洲,15-30K,"经验不限, 本科",Java,带我飞,,https://www.zhipin.com/job_detail/2dc6e3fe58cfe8c21XJ_0925GVQ~.html?lid=Kru9hbReI6.search.1&securityId=U5r3QoWg81IG8-I1JtPfxUQKaCDU-nqjRHqoIct4qvJhqeDDJxaAlriNeyeO_16iGzn0Bg89W2A_yszoUWnvi6iCX0R0EpM69IB7xL1sIiv_vw~~&sessionId=,15,30,22.5,经验不限,本科,广州,1
AI人工智能工程师,广州·海珠区·琶洲,15-25K·13薪,"经验不限, 本科","机器学习算法/工程化经验, 研究导向, 计算机相关专业, 语音/图像识别",实现家,零食下午茶，五险一金，员工旅游，带薪年假，绩效奖金，全勤奖，年终奖,https://www.zhipin.com/job_detail/608537480dcfe8191XN82Ny_FlZV.html?lid=Kru9hbReI6.search.2&securityId=RlGnBfXOMA6y6-h1a-ruN_oRTMwnyas0EBeXTnzYjDra5WOlJrKEDpyOYXufofwdwCIjkaAMcejr38_gjzIqOnjqQgUdhGZvAP9C4T2gRlZiVa7dZrGe&sessionId=,15,25,20,经验不限,本科,广州,7
ai人工智能工程师,广州·越秀区·东山口,13-25K,"3-5年, 大专","C/C++, 图像识别经验",亿启网络,每月业绩奖金，餐补，零食下午茶，五险一金，员工旅游，带薪年假，交通补助，定期体检，节日福利,https://www.zhipin.com/job_detail/92455ec142f941f91Xx73t69FVdZ.html?lid=Kru9hbReI6.search.3&securityId=m7pPL97uaWZ9N-r1hZKqDRFwRrbJaIrTKMyA0p2A6XQRaH8LsfRl5zZnPHEofJHsVJl514SqYfsd2mMwdMYchmb2oAnEpLSfZDnHVclDtqkiURA_pc0~&sessionId=,13,25,19,3-5年,大专,广州,9
广州兼职AI老师（少儿编程&人工智能方向）,广州·越秀区·沿江路,1-2K,"经验不限, 本科","小学教育, 教师资格证",iLearn,五险一金，员工活动，节日福利，生日福利，零食下午茶，带薪年假，法定假期，带薪病假,https://www.zhipin.com/job_detail/ca19b1c1cd2884bc1n1_09y0EVRS.html?lid=Kru9hbReI6.search.4&securityId=gEkfYa2MGTQkq-f1B8lPeA_ojEbgaxqVUp5qEdID9Jb9uVXwIy_ekcnt4KeC4EJ7NmocwZX341nIB0kCDPXaFEe6uNLez5BmwprJ6c1Oz2DE3LavhQ~~&sessionId=,1,2,1.5,经验不限,本科,广州,8
人工智能,广州·白云区·嘉禾,15-23K,"3-5年, 本科","Java, 深度学习算法, 视觉图像算法, 视频算法, 数据分析, 数据库开发",唯匠美,,https://www.zhipin.com/job_detail/bd7368c48f9654811XZ529W8F1JV.html?lid=Kru9hbReI6.search.5&securityId=S4po1446aZaNm-2189dCUGaRPk2sXJn3vtUH6rUPUzKlKraRkbrNBM44RVh5f_gWUOZqznGZJbdL5JKgICL2O1P-SqcvBz3LbSNDKu3wYtb2ag4LCOg~&sessionId=,15,23,19,3-5年,本科,广州,1
人工智能专家,广州·黄埔区·开发区西区,50-80K,"10年以上, 博士",C/C++,朗姆莱特,五险一金，交通补助，员工旅游，节日福利，零食下午茶，通讯补贴，定期体检，年终奖,https://www.zhipin.com/job_detail/b727e77924961ddf1XJ73tq5GVpT.html?lid=Kru9hbReI6.search.6&securityId=e6bCyiTv79Vxf-r1YVabnsQzHyCqCi7c5WduwNu1gcCXYT6Z1wPJuebUOv4DgMo_3bElYAF8pVuAcyH3Psp0YSmX9_-orgxCo0odRtxVoeEslj0jDcqu&sessionId=,50,80,65,10年以上,博士,广州,8
教师（人工智能方向）,广州·番禺区·沙头,8-12K,"1-3年, 本科","中学生, 学前儿童/小学生, 成人, 大型教育机构经验, 教育学专业背景, 熟练掌握计算机语言, 教师经验, 师范学校毕业, 懂编程懂开源硬件",智迈汇,补充医疗保险，带薪年假，年终奖，股票期权，员工旅游，免费班车，五险，交通补助，节日福利,https://www.zhipin.com/job_detail/befeaa6170fc082f1XJy2N25EVtW.html?lid=Kru9hbReI6.search.7&securityId=lBG5iDYF774Uy-k1ElgvreW8vHyCUHa3CtE2cvCjWt_k5NEh62wwavQhxeBBQOf47zwXjTbX-05lz2RcIU3Be6Akzu71HkccjTLzg9Pxv5B1csxtSA~~&sessionId=,8,12,10,1-3年,本科,广州,9
人工智能,广州·番禺区·石基,40-60K·13薪,"5-10年, 博士","Wireshark, SAS, 数据分析, NoSQL, MongoDB, 数据结构",白色工业设计,带薪年假，社保缴费，交通补助，零食下午茶，节日福利，年终奖，股票期权，员工旅游,https://www.zhipin.com/job_detail/ac9d2e737e7840171XZ-3Nq7ElFR.html?lid=Kru9hbReI6.search.8&securityId=xjKRmiM2fM0kf-a1yp41OC7fZ_WQhSQ-5FxpHviLU0xCKMaWQunMYpZ_78bWoCbG7asaoGWAWUAMgK57vlOmmikreXg0URVqfkoYQVNTuFRz85LXxg~~&sessionId=,40,60,50,5-10年,博士,广州,8
人工智能讲师,广州,8-10K,"1-3年, 本科",TensorFlow/PyTorch,广东蓝色畅想,五险一金，补充医疗保险，餐补，交通补助，员工旅游，带薪年假，免费班车，全勤奖，年终奖，通讯补贴，节日福利,https://www.zhipin.com/job_detail/7a07c10292d73c3a1XNz29S-E1VW.html?lid=Kru9hbReI6.search.9&securityId=iDICwqjV874sC-B1_TSA__LOFboFwnwpfblFwesLahWHZQl0KnlHsI6C5hBjSvo8Fp3tVYd6d0AJ5KAcecXesRBqvEg1u5o9ehNd0ECKX6jlb133maQ~&sessionId=,8,10,9,1-3年,本科,广州,11
